lat,long
-16.7345843695,13.3930054064
-16.7299683308,13.3930370641
-16.7253522802,13.3930686375
-16.7207362178,13.3931001266
-16.7161201444,13.3931315315
-16.7115040583,13.3931628521
-16.7068879604,13.3931940885
-16.7022718508,13.3932252406
-16.6976557295,13.3932563084
-16.6930395965,13.393287292
-16.6884234518,13.3933181913
-16.6838072964,13.3933490063
-16.6791911286,13.393379737
-16.6745749492,13.3934103835
-16.6699587582,13.3934409457
-16.6653425558,13.3934714236
-16.6607263419,13.3935018173
-16.6561101175,13.3935321266
-16.6514938808,13.3935623517
-16.6468776327,13.3935924926
-16.6422613733,13.3936225491
-16.6376451026,13.3936525214
-16.6330288206,13.3936824094
-16.6284125274,13.3937122131
-16.6237962239,13.3937419325
-16.6191799083,13.3937715676
-16.6145635816,13.3938011185
-16.6099472437,13.393830585
-16.6053308948,13.3938599673
-16.6007145349,13.3938892653
-16.5960981639,13.393918479
-16.5914817828,13.3939476084
-16.7668633276,13.3882623851
-16.7622474591,13.3882946213
-16.7576315786,13.3883267733
-16.7530156859,13.3883588411
-16.7483997822,13.3883908246
-16.7437838654,13.3884227239
-16.7391679367,13.3884545389
-16.734551996,13.3884862698
-16.7299360433,13.3885179164
-16.7253200788,13.3885494787
-16.7207041024,13.3885809569
-16.7160881151,13.3886123508
-16.711472115,13.3886436605
-16.7068561032,13.3886748859
-16.7022400796,13.3887060271
-16.6976240444,13.3887370841
-16.6930079974,13.3887680568
-16.6883919388,13.3887989453
-16.6837758695,13.3888297495
-16.6791597877,13.3888604695
-16.6745436943,13.3888911053
-16.6699275894,13.3889216568
-16.6653114731,13.3889521241
-16.6606953452,13.3889825071
-16.6560792069,13.3890128059
-16.6514630563,13.3890430204
-16.6468468943,13.3890731507
-16.6422307209,13.3891031967
-16.6376145363,13.3891331585
-16.6329983404,13.389163036
-16.6283821332,13.3891928293
-16.6237659158,13.3892225384
-16.6191496863,13.3892521631
-16.6145334456,13.3892817037
-16.6099171938,13.3893111599
-16.605300931,13.3893405319
-16.6006846571,13.3893698197
-16.5960683722,13.3893990232
-16.5914520772,13.3894281424
-16.7760618923,13.3836786236
-16.7714461342,13.3837110169
-16.7668303639,13.383743326
-16.7622145815,13.3837755509
-16.7575987869,13.3838076916
-16.7529829803,13.3838397482
-16.7483671625,13.3838717205
-16.7437513318,13.3839036086
-16.7391354891,13.3839354126
-16.7345196344,13.3839671323
-16.7299037678,13.3839987679
-16.7252878893,13.3840303192
-16.7206719989,13.3840617863
-16.7160560976,13.3840931692
-16.7114401835,13.384124468
-16.7068242577,13.3841556825
-16.7022083202,13.3841868128
-16.6975923709,13.3842178589
-16.69297641,13.3842488208
-16.6883604374,13.3842796985
-16.6837444541,13.3843104919
-16.6791284584,13.3843412012
-16.674512451,13.3843718263
-16.6698964322,13.3844023671
-16.6652804018,13.3844328237
-16.66066436,13.3844631961
-16.6560483077,13.3844934843
-16.6514322431,13.3845236883
-16.6468161671,13.384553808
-16.6422000798,13.3845838436
-16.6375839812,13.3846137949
