Latitude,Longitude,PREDICTED_GROUNDWATER_LEVEL
13.4157587853,-16.7116639514,15.08428614909495
13.4157900763,-16.7070474227,13.252793567992452
13.4158212828,-16.7024308824,14.691400404144451
13.4158524049,-16.6978143303,13.062678424549155
13.4158834426,-16.6931977665,13.166044527819484
13.4159143959,-16.6885811911,11.476672086966175
13.4159452648,-16.683964605,12.90140301261668
13.4159760493,-16.6793480064,13.61042471278621
13.4160067493,-16.6747313962,14.084331135168956
13.4160373649,-16.6701147745,12.855396453609321
13.4160678961,-16.6654981412,11.853120612006409
13.4160983429,-16.6608814966,11.635845529805732
13.4161287053,-16.6562648414,7.295665516859977
13.4161589832,-16.6516481739,9.572948383024737
13.4161891767,-16.647031495,8.968092834720077
13.4162192858,-16.6424148048,12.16162274654984
13.4162493104,-16.6377981032,8.246885662835158
13.4162792507,-16.6331813904,7.982157885201163
13.4163091065,-16.6285646664,9.981448506173436
13.4163388778,-16.6239479321,12.160238906414897
13.4163685648,-16.6193311857,12.534584466749632
