long,lat,Drainage_density,Slope_tif2,Hydrogeo,Curvatu_tif2,NASADEM_HGT
-16.6565751442,13.4613217342,53.60859298706055,0.9853842258453368,5.0,-3888000000.0,1.0
-16.6519576128,13.4613521178,54.3720932006836,1.0386748313903809,5.0,-0.0,3.0
-16.6473400699,13.4613824167,47.68256759643555,1.1842325925827026,5.0,-1296000000.0,4.0
-16.6427225157,13.4614126309,36.85717010498047,3.608652591705322,5.0,-0.0,4.0
-16.6381049501,13.4614427603,32.13805389404297,0.3284901976585388,5.0,-0.0,4.0
-16.6334873733,13.4614728051,32.006919860839844,1.1842325925827026,5.0,-1296000000.0,5.0
-16.6288697853,13.4615027651,26.669574737548828,1.642019271850586,5.0,-3888000000.0,0.0
-16.6242521869,13.4615326404,22.483943939208984,1.642019271850586,5.0,-0.0,3.0
-16.6196345764,13.461562431,23.22875213623047,0.7344942092895508,5.0,3888000000.0,5.0
-16.6150169548,13.4615921368,23.82043838500977,1.1842325925827026,5.0,1296000000.0,5.0
-16.6103993221,13.4616217579,23.058080673217773,1.642019271850586,5.0,2592000000.0,5.0
-16.6057816782,13.4616512943,23.381244659423828,2.7851665019989014,5.0,1296000000.0,5.0
-16.6011640233,13.461680746,21.512243270874023,0.9853842258453368,5.0,-2592000000.0,4.0
-16.5965463574,13.4617101129,22.09242820739746,1.8575904369354248,5.0,-0.0,3.0
-16.5919286814,13.4617393951,21.862104415893555,3.962874174118042,5.0,-0.0,1.0
-16.5873109935,13.4617685926,20.03533363342285,0.4645501971244812,5.0,-9072000000.0,-1.0
-16.5826932946,13.4617977053,9.80571174621582,0.4645501971244812,5.0,3888000000.0,11.0
-16.5780755849,13.4618267333,7.369265079498291,0.0,5.0,-0.0,0.0
-16.7165697953,13.4563998826,26.557153701782227,5.450723171234131,5.0,-10368000000.0,0.0
-16.7119525011,13.4564313566,37.47385025024414,1.6745193004608154,5.0,-2592000000.0,6.0
-16.7073351952,13.4564627458,44.1298942565918,3.6234941482543945,5.0,2592000000.0,9.0
-16.7027178775,13.4564940504,42.98526382446289,2.3674540519714355,5.0,1296000000.0,14.0
-16.6981005481,13.4565252703,42.644309997558594,4.871637344360352,5.0,5184000000.0,14.0
-16.693483207,13.4565564055,48.439937591552734,3.095987558364868,5.0,-9072000000.0,10.0
-16.6888658542,13.4565874561,54.14271545410156,3.740084171295166,5.0,1296000000.0,12.0
-16.6842484907,13.4566184219,59.601444244384766,0.7344942092895508,5.0,1296000000.0,17.0
-16.6796311147,13.4566493031,80.45915222167969,1.6745193004608154,5.0,-2592000000.0,17.0
-16.6750137271,13.4566800996,79.59593963623047,1.0386748313903809,5.0,-5184000000.0,14.0
-16.670396328,13.4567108114,75.58573150634766,1.642019271850586,5.0,-0.0,12.0
-16.6657789173,13.4567414385,68.28052520751953,3.095987558364868,5.0,1296000000.0,9.0
-16.6611614952,13.456771981,62.45866775512695,0.656958818435669,5.0,3888000000.0,11.0
